STATION,NAME,LATITUDE,LONGITUDE,Total_Days,Ideal_Days,Percent_Ideal
USC00300023,"ADDISON, NY US",42.1013,-77.2344,119,55,46.21848739495798
USC00300055,"ALBION, NY US",43.22458,-78.22362,598,212,35.45150501672241
USC00300063,"ALCOVE DAM, NY US",42.47231,-73.92792,593,222,37.436762225969645
USC00300085,"ALFRED, NY US",42.27985,-77.76643,602,229,38.03986710963455
USC00300093,"ALLEGANY STATE PARK, NY US",42.1003,-78.7497,600,223,37.166666666666664
USC00300183,"ANGELICA, NY US",42.3108,-78.023,602,217,36.04651162790697
USC00300321,"AUBURN, NY US",42.9327,-76.5447,602,230,38.205980066445186
USC00300331,"AURORA RESEARCH FARM, NY US",42.7338,-76.6591,573,205,35.776614310645726
USC00300343,"AVON, NY US",42.9203,-77.7557,602,223,37.04318936877076
USC00300364,"BAITING HOLLOW, NY US",40.93446,-72.74079,597,192,32.1608040201005
USC00300443,"BATAVIA, NY US",43.02966,-78.16822,602,220,36.544850498338874
USC00300668,"BIG MOOSE 3 SE, NY US",43.8176,-74.87263,231,64,27.705627705627705
USC00300785,"BOONVILLE 4 SSW, NY US",43.4361,-75.3697,602,188,31.22923588039867
USC00300870,"BREWERTON LOCK 23, NY US",43.2386,-76.1964,536,213,39.73880597014926
USC00300889,"BRIDGEHAMPTON, NY US",40.952,-72.2977,542,209,38.56088560885609
USC00300937,"BROCKPORT, NY US",43.216,-77.9529,602,209,34.71760797342193
USC00301068,"BUSKIRK, NY US",42.9361,-73.43257,601,205,34.109816971713805
USC00301102,"CALLICOON CENTER, NY US",41.82737,-74.95065,600,213,35.5
USC00301110,"CAMDEN, NY US",43.3305,-75.8416,559,210,37.567084078711986
USC00301152,"CANANDAIGUA 3 S, NY US",42.84505,-77.28071,602,212,35.21594684385382
USC00301211,"CARMEL 4 N, NY US",41.4725,-73.655,598,225,37.62541806020067
USC00301264,"CATTARAUGUS 3 W, NY US",42.34311,-78.91234,361,121,33.51800554016621
USC00301309,"CENTERPORT, NY US",40.88345,-73.37309,602,202,33.5548172757475
USC00301388,"CHASES LAKE, NY US",43.75923,-75.29982,121,42,34.710743801652896
USC00301595,"COBLESKILL 2 ESE, NY US",42.66717,-74.44239,85,37,43.529411764705884
USC00301625,"COLDEN 1 W, NY US",42.6472,-78.7111,602,204,33.88704318936877
USC00301664,"COLTON 2 N, NY US",44.5842,-74.9573,601,188,31.281198003327788
USC00301708,"CONKLINGVILLE DAM, NY US",43.3203,-73.9256,397,155,39.042821158690174
USC00301752,"COOPERSTOWN, NY US",42.7166,-74.9266,599,197,32.8881469115192
USC00301787,"CORNING, NY US",42.1341,-77.0691,601,235,39.10149750415973
USC00301966,"DANNEMORA, NY US",44.7192,-73.7205,596,184,30.87248322147651
USC00301974,"DANSVILLE, NY US",42.56477,-77.71762,585,207,35.38461538461539
USC00302031,"DELANSON 2 NE, NY US",42.7672,-74.1711,349,108,30.945558739255013
USC00302036,"DELHI 2 SE, NY US",42.2533,-74.905,589,202,34.29541595925297
USC00302151,"MOLLOY CERCOM, NY US",40.7211,-73.0908,277,76,27.436823104693143
USC00302169,"DOWNSVILLE DAM, NY US",42.0772,-74.9827,571,206,36.077057793345006
USC00302197,"DUNKIRK, NY US",42.4718,-79.33371,602,258,42.857142857142854
USC00302366,"EAST JEWETT, NY US",42.23432,-74.14436,119,58,48.739495798319325
USC00302454,"EAST SIDNEY, NY US",42.33278,-75.22982,588,200,34.01360544217687
USC00302574,"ELLENBURG DEPOT, NY US",44.913,-73.8223,361,94,26.038781163434905
USC00302610,"ELMIRA, NY US",42.0997,-76.8358,601,234,38.935108153078204
USC00303025,"FRANKLINVILLE, NY US",42.32933,-78.46378,601,203,33.777038269550744
USC00303050,"FREEVILLE 1 NE, NY US",42.5178,-76.3351,602,219,36.37873754152824
USC00303087,"FULTON, NY US",43.3049,-76.3938,602,222,36.87707641196013
USC00303184,"GENEVA RESEARCH FARM, NY US",42.8766,-77.0307,602,232,38.53820598006645
USC00303322,"GLOVERSVILLE 7 NW PECK LAKE, NY US",43.115,-74.4236,585,213,36.41025641025641
USC00303346,"GOUVERNEUR 3 NW, NY US",44.354,-75.5123,600,195,32.5
USC00303773,"HEMLOCK, NY US",42.7746,-77.6083,602,214,35.548172757475086
USC00303851,"HIGHMARKET 2 W, NY US",43.60514,-75.55438,481,157,32.640332640332645
USC00303955,"HONEOYE, NY US",42.79148,-77.51331,602,211,35.04983388704319
USC00303983,"HORNELL ALMOND DAM, NY US",42.3488,-77.7044,602,222,36.87707641196013
USC00304102,"INDIAN LAKE 2 SW, NY US",43.75477,-74.27558,602,193,32.05980066445183
USC00304174,"ITHACA CORNELL UNIVERSITY, NY US",42.44915,-76.44905,602,223,37.04318936877076
USC00304207,"JAMESTOWN 4 ENE, NY US",42.11,-79.1591,602,221,36.7109634551495
