STATION,NAME,LATITUDE,LONGITUDE,INC
US1NYTG0005,"BERKSHIRE 2.0 N, NY US",42,-76,0
USC00300443,"BATAVIA, NY US",43,-78,1
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",43,-74,1
US1NYCQ0005,"KENNEDY 0.3 NE, NY US",42,-79,0
US1NYGR0005,"NEW BALTIMORE 0.2 SE, NY US",42,-74,0
US1NYTM0036,"ITHACA 2.0 ESE, NY US",42,-76,0
US1NYER0189,"HAMBURG 2.0 N, NY US",43,-79,0
USC00300608,"BENNETTS BRIDGE, NY US",44,-76,0
US1NYTG0015,"BERKSHIRE 1.9 ENE, NY US",42,-76,0
US1NYWN0023,"LYONS 0.7 NNE, NY US",43,-77,0
US1NYWN0020,"ONTARIO 4.2 NW, NY US",43,-77,0
US1NYHM0011,"INLET 0.8 SE, NY US",44,-75,0
USC00303322,"GLOVERSVILLE 7 NW PECK LAKE, NY US",43,-74,1
US1NYTM0023,"FREEVILLE 3.7 W, NY US",43,-76,0
USC00301152,"CANANDAIGUA 3 S, NY US",43,-77,1
USC00300183,"ANGELICA, NY US",42,-78,1
US1NYTM0028,"ITHACA 2.2 NW, NY US",42,-77,0
USC00303050,"FREEVILLE 1 NE, NY US",43,-76,1
US1NYBM0056,"VESTAL 2.0 WSW, NY US",42,-76,0
US1NYBM0055,"VESTAL 0.1 SW, NY US",42,-76,0
US1NYER0078,"HAMBURG 0.6 S, NY US",43,-79,0
US1NYER0208,"ANGOLA 0.6 NNE, NY US",43,-79,0
US1NYER0205,"HAMBURG 1.7 WNW, NY US",43,-79,0
US1NYWS0010,"SALEM 2.3 SSE, NY US",43,-73,0
US1NYSR0022,"GREENFIELD CENTER 1.6 W, NY US",43,-74,0
US1NYDT0007,"HYDE PARK 1.5 W, NY US",42,-74,0
USC00301595,"COBLESKILL 2 ESE, NY US",43,-74,1
US1NYDT0005,"WAPPINGERS FALLS 1.6 ESE, NY US",42,-74,0
US1NYER0164,"AKRON 0.9 NE, NY US",43,-78,0
US1NYMR0093,"FAIRPORT 3.0 NE, NY US",43,-77,0
US1NYDL0028,"FLEISCHMANNS 5.7 N, NY US",42,-75,0
US1NYDL0025,"HOBART 4.8 ESE, NY US",42,-75,0
US1NYYT0005,"PENN YAN 5.1 NNW, NY US",43,-77,0
USC00302574,"ELLENBURG DEPOT, NY US",45,-74,1
USC00303025,"FRANKLINVILLE, NY US",42,-78,1
US1NYGN0011,"BATAVIA 1.2 W, NY US",43,-78,0
US1NYGN0013,"BATAVIA 3.4 WSW, NY US",43,-78,0
US1NYES0009,"KEENE VALLEY 2.5 NE, NY US",44,-74,0
US1NYTM0045,"NEWFIELD HAMLET 4.3 S, NY US",42,-77,0
US1NYCB0023,"CHATHAM 0.7 SW, NY US",42,-74,0
US1NYBM0034,"VESTAL 3.2 E, NY US",42,-76,0
US1NYSR0003,"MILTON 5.2 NNW, NY US",43,-74,0
US1NYSR0004,"SARATOGA SPRINGS 0.5 S, NY US",43,-74,0
US1NYTM0042,"ITHACA 6.4 E, NY US",42,-76,0
US1NYMR0084,"FAIRPORT 0.9 W, NY US",43,-77,0
US1NYOT0025,"LAURENS 5.5 W, NY US",43,-75,0
US1NYCT0022,"FRANKLINVILLE 0.5 NNE, NY US",42,-78,0
USC00304207,"JAMESTOWN 4 ENE, NY US",42,-79,1
US1NYYT0014,"PENN YAN 6.1 E, NY US",43,-77,0
