,PRODUCER,ADDRESS,ZIP,Unnamed: 0,STATION,STATION_NAME,LATITUDE,LONGITUDE,2019-01,2019-02,2019-03,2019-04,2020-01,2020-02,2020-03,2020-04,2021-01,2021-02,2021-03,2021-04,2022-01,2022-02,2022-03,2022-04,2023-01,2023-02,2023-03,2023-04
0,Birdseye Hollow Farm & Distillery,"8398 County Road 96, Hammondsport, NY, USA",13646,13,USC00303346,"GOUVERNEUR 3 NW, NY US",,,19.35483870967742,21.428571428571427,22.58064516129032,26.666666666666668,22.58064516129032,37.93103448275862,38.70967741935484,43.333333333333336,12.903225806451612,14.285714285714285,22.58064516129032,16.666666666666664,12.903225806451612,25.0,38.70967741935484,40.0,25.806451612903224,35.714285714285715,79.3103448275862,20.0
1,Brick Chapel Maple,"5355 County Road 27, Canton, NY 13617, USA",13617,40,USW00014743,"CANTON 4 SE, NY US",,,15.789473684210526,26.31578947368421,26.31578947368421,40.0,10.0,23.809523809523807,,,,,,21.052631578947366,,,41.17647058823529,30.0,22.22222222222222,,100.0,23.33333333333333
2,Brower Road Sugarhouse,"158 Brower Road, Gloversville, NY, 12078 USA",12078,12,USC00303322,"GLOVERSVILLE 7 NW PECK LAKE, NY US",43.115,-74.4236,6.451612903225806,14.285714285714285,19.35483870967742,42.85714285714285,6.451612903225806,10.344827586206897,54.83870967741935,50.0,0.0,7.142857142857142,41.935483870967744,33.33333333333333,3.4482758620689653,23.809523809523807,43.333333333333336,58.620689655172406,22.58064516129032,25.0,45.16129032258064,35.714285714285715
3,"Cartwright’s Maple Tree Inn, LLC","4321 County Road 15A, Angelica, NY, 14709, USA",14709,0,USC00300183,"ANGELICA, NY US",42.3108,-78.023,16.129032258064516,28.57142857142857,38.70967741935484,36.66666666666666,25.806451612903224,44.82758620689656,45.16129032258064,43.333333333333336,32.25806451612903,21.428571428571427,16.129032258064516,20.0,12.903225806451612,17.857142857142858,32.25806451612903,50.0,41.935483870967744,50.0,54.83870967741935,23.33333333333333
4,CCE of St. Lawrence County,"2043B State Highway 68, Canton NY 13617",13617,40,USW00014743,"CANTON 4 SE, NY US",,,15.789473684210526,26.31578947368421,26.31578947368421,40.0,10.0,23.809523809523807,,,,,,21.052631578947366,,,41.17647058823529,30.0,22.22222222222222,,100.0,23.33333333333333
5,Chazy Lake Maple,"807 Wilfred King Road, Ellenburg Depot, NY 12935, USA",12934,8,USC00302574,"ELLENBURG DEPOT, NY US",44.913,-73.8223,12.903225806451612,21.428571428571427,35.483870967741936,30.0,22.58064516129032,31.03448275862069,38.70967741935484,50.0,3.225806451612903,14.285714285714285,25.806451612903224,16.666666666666664,9.67741935483871,21.428571428571427,29.03225806451613,40.0,,,,
6,Circle G Farm,"705 County Route 7, Hammond, NY, 13646, USA",13646,13,USC00303346,"GOUVERNEUR 3 NW, NY US",,,19.35483870967742,21.428571428571427,22.58064516129032,26.666666666666668,22.58064516129032,37.93103448275862,38.70967741935484,43.333333333333336,12.903225806451612,14.285714285714285,22.58064516129032,16.666666666666664,12.903225806451612,25.0,38.70967741935484,40.0,25.806451612903224,35.714285714285715,79.3103448275862,20.0
7,City Line Farms,"2548 State Route 3, Fulton, Volney, NY 13069, USA",13069,11,USC00303087,"FULTON, NY US",,,22.58064516129032,35.714285714285715,35.483870967741936,30.0,29.03225806451613,41.37931034482759,35.483870967741936,40.0,22.58064516129032,17.857142857142858,22.58064516129032,13.333333333333334,16.129032258064516,32.142857142857146,45.16129032258064,13.333333333333334,35.483870967741936,39.285714285714285,64.51612903225806,10.0
8,City Line Farms,"2548 State Route 3, Fulton, Volney, NY 13069, USA",13069,41,USW00054773,"FULTON OSWEGO CO AIRPORT, NY US",,,25.806451612903224,32.142857142857146,48.38709677419355,23.33333333333333,35.483870967741936,37.93103448275862,41.935483870967744,33.33333333333333,22.58064516129032,32.142857142857146,22.58064516129032,16.666666666666664,9.67741935483871,17.857142857142858,35.483870967741936,16.666666666666664,35.483870967741936,57.14285714285714,54.83870967741935,16.666666666666664
9,Coles Turnpike Tree Farm,"3143 NY-206, Whitney Point, NY 13862, USA",13862,36,USC00309442,"WHITNEY POINT DAM, NY US",42.3419,-75.9653,22.58064516129032,28.57142857142857,38.70967741935484,30.0,35.483870967741936,41.37931034482759,45.16129032258064,,19.35483870967742,25.0,29.03225806451613,20.0,12.903225806451612,32.142857142857146,38.70967741935484,33.33333333333333,51.61290322580645,57.14285714285714,51.61290322580645,23.33333333333333
