,STATION,NAME,ZIP,LATITUDE,LONGITUDE,2019-01,2019-02,2019-03,2019-04,2020-01,2020-02,2020-03,2020-04,2021-01,2021-02,2021-03,2021-04,2022-01,2022-02,2022-03,2022-04,2023-01,2023-02,2023-03,2023-04
0,USC00300183,"ANGELICA, NY US",14709,42.3108,-78.023,29.03225806451613,32.142857142857146,29.03225806451613,36.666666666666664,48.38709677419355,48.275862068965516,38.70967741935484,40.0,51.61290322580645,25.0,19.35483870967742,16.666666666666664,19.35483870967742,14.285714285714285,29.03225806451613,40.0,54.83870967741935,57.14285714285714,61.29032258064516,20.0
1,USC00300443,"BATAVIA, NY US",14020,43.02966,-78.16822,25.806451612903224,21.428571428571427,51.61290322580645,26.666666666666668,41.935483870967744,58.620689655172406,38.70967741935484,40.0,48.38709677419355,21.428571428571427,29.03225806451613,20.0,19.35483870967742,17.857142857142858,29.03225806451613,33.33333333333333,41.935483870967744,57.14285714285714,87.09677419354838,20.0
2,USC00301152,"CANANDAIGUA 3 S, NY US",14424,42.84505,-77.28071,29.03225806451613,39.285714285714285,51.61290322580645,20.0,48.38709677419355,44.827586206896555,45.16129032258064,40.0,48.38709677419355,25.0,22.58064516129032,20.0,22.58064516129032,21.428571428571427,32.25806451612903,26.666666666666668,48.38709677419355,46.42857142857143,61.29032258064516,10.0
3,USC00301595,"COBLESKILL 2 ESE, NY US",12043,42.66717,-74.44239,17.24137931034483,35.294117647058826,44.827586206896555,16.666666666666664,28.57142857142857,63.63636363636363,38.095238095238095,,42.857142857142854,,,,,,,,,,,
4,USC00301664,"COLTON 2 N, NY US",13625,,,19.35483870967742,21.428571428571427,30.0,46.666666666666664,32.25806451612903,37.93103448275862,35.483870967741936,50.0,22.58064516129032,25.0,23.333333333333332,20.0,9.67741935483871,25.0,35.483870967741936,33.33333333333333,25.806451612903224,39.285714285714285,67.74193548387096,20.0
5,USC00301752,"COOPERSTOWN, NY US",13326,,,22.58064516129032,21.428571428571427,22.58064516129032,30.0,25.806451612903224,34.48275862068966,38.70967741935484,41.37931034482759,22.58064516129032,35.714285714285715,25.806451612903224,16.666666666666664,12.903225806451612,21.428571428571427,38.70967741935484,33.33333333333333,35.483870967741936,50.0,74.19354838709677,16.666666666666664
6,USC00302169,"DOWNSVILLE DAM, NY US",13755,,,29.03225806451613,39.285714285714285,51.61290322580645,23.333333333333332,41.935483870967744,58.620689655172406,45.16129032258064,40.0,38.70967741935484,,25.806451612903224,10.0,22.58064516129032,35.714285714285715,25.806451612903224,31.03448275862069,55.172413793103445,57.14285714285714,54.83870967741935,16.666666666666664
7,USC00302454,"EAST SIDNEY, NY US",13775,42.33278,-75.22982,29.03225806451613,28.57142857142857,32.25806451612903,16.666666666666664,33.33333333333333,55.172413793103445,38.70967741935484,43.333333333333336,48.38709677419355,14.285714285714285,22.58064516129032,13.333333333333334,22.58064516129032,28.57142857142857,35.483870967741936,36.666666666666664,50.0,46.42857142857143,51.61290322580645,16.666666666666664
8,USC00302574,"ELLENBURG DEPOT, NY US",12934,44.913,-73.8223,12.903225806451612,17.857142857142858,35.483870967741936,36.666666666666664,29.03225806451613,34.48275862068966,38.70967741935484,50.0,16.129032258064516,14.285714285714285,19.35483870967742,20.0,9.67741935483871,14.285714285714285,32.25806451612903,33.33333333333333,,,,
9,USC00303025,"FRANKLINVILLE, NY US",14737,42.32933,-78.46378,32.25806451612903,32.142857142857146,38.70967741935484,30.0,38.70967741935484,48.275862068965516,48.38709677419355,26.666666666666668,41.935483870967744,17.857142857142858,19.35483870967742,20.689655172413794,25.806451612903224,14.285714285714285,16.129032258064516,36.666666666666664,48.38709677419355,60.71428571428571,58.06451612903226,16.666666666666664
